SEM_EXM_EXCH_ID,SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME
NSE,I,469,INDEX,0,NIFTY FINSRV25 50,1,Nifty Financial Services 25/50,0001-01-01,,XX,0.05,,INDEX,X,NIFTY FINSRV25 50
NSE,I,470,INDEX,0,NIFTY OIL AND GAS,1,Nifty Oil and Gas,0001-01-01,,XX,0.05,,INDEX,X,NIFTY OIL AND GAS
NSE,I,471,INDEX,0,NIFTY MIDSML HLTH,1,Nifty MidSmall Healthcare,0001-01-01,,XX,0.05,,INDEX,X,NIFTY MIDSML HLTH
NSE,I,473,INDEX,0,NIFTY IND DIGITAL,1,Nifty India Digital,0001-01-01,,XX,0.05,,INDEX,X,NIFTY IND DIGITAL
NSE,I,474,INDEX,0,NIFTY INDIA MFG,1,Nifty India Manufacturing,0001-01-01,,XX,0.05,,INDEX,X,NIFTY INDIA MFG
NSE,I,475,INDEX,0,NIFTY TATA 25 CAP,1,Nifty India Corporate Group Index - Tata Group 25% Cap,0001-01-01,,XX,0.05,,INDEX,X,NIFTY TATA 25 CAP
NSE,I,476,INDEX,0,NIFTY MULTI MFG,1,Nifty 500 Multicap India Manufacturing 50:30:20,0001-01-01,,XX,0.05,,INDEX,X,NIFTY MULTI MFG
NSE,I,477,INDEX,0,NIFTY MULTI INFRA,1,Nifty 500 Multicap Infrastructure 50:30:20,0001-01-01,,XX,0.05,,INDEX,X,NIFTY MULTI INFRA
NSE,I,478,INDEX,0,NIFTY100 ESG,1,Nifty100 ESG,0001-01-01,,XX,0.05,,INDEX,X,NIFTY100 ESG
NSE,I,479,INDEX,0,NIFTY100ESGSECLDR,1,Nifty100 ESG Sector Leaders,0001-01-01,,XX,0.05,,INDEX,X,NIFTY100ESGSECLDR
NSE,I,480,INDEX,0,NIFTY200MOMENTM30,1,Nifty 200 Momentum 30,0001-01-01,,XX,0.05,,INDEX,X,NIFTY200MOMENTM30
NSE,I,481,INDEX,0,NIFTY200 ALPHA 30,1,Nifty 200 Alpha 30,0001-01-01,,XX,0.05,,INDEX,X,NIFTY200 ALPHA 30
NSE,I,482,INDEX,0,NIFTY ALPHALOWVOL,1,Nifty Alpha Low Volatility 30,0001-01-01,,XX,0.05,,INDEX,X,NIFTY ALPHALOWVOL
NSE,I,483,INDEX,0,NIFTYM150MOMNTM50,1,Nifty Midcap150 Momentum 50,0001-01-01,,XX,0.05,,INDEX,X,NIFTYM150MOMNTM50
NSE,I,484,INDEX,0,NIFTY50 DIV POINT,1,Nifty 50 Dividend Points,0001-01-01,,XX,0.05,,INDEX,X,NIFTY50 DIV POINT
NSE,I,485,INDEX,0,NIFTY50 EQL WGT,1,Nifty 50 Equal Weight,0001-01-01,,XX,0.05,,INDEX,X,NIFTY50 EQL WGT
NSE,I,486,INDEX,0,NIFTY50 PR 1X INV,1,Nifty 50 PR 1x Inverse,0001-01-01,,XX,0.05,,INDEX,X,NIFTY50 PR 1X INV
NSE,I,487,INDEX,0,NIFTY50 PR 2X LEV,1,Nifty 50 PR 2x Leverage,0001-01-01,,XX,0.05,,INDEX,X,NIFTY50 PR 2X LEV
NSE,I,488,INDEX,0,NIFTY50 TR 1X INV,1,Nifty 50 TR 1x Inverse,0001-01-01,,XX,0.05,,INDEX,X,NIFTY50 TR 1X INV
NSE,I,489,INDEX,0,NIFTY50 TR 2X LEV,1,Nifty 50 TR 2x Leverage,0001-01-01,,XX,0.05,,INDEX,X,NIFTY50 TR 2X LEV
NSE,I,490,INDEX,0,NIFTY200 QUALTY30,1,Nifty 200 Quality 30,0001-01-01,,XX,0.05,,INDEX,X,NIFTY200 QUALTY30
NSE,I,491,INDEX,0,NIFTY EV,1,Nifty EV and New Age Auto,0001-01-01,,XX,0.05,,INDEX,X,NIFTY EV
NSE,I,492,INDEX,0,NIFTYSML250MQ 100,1,Nifty Smallcap250 Momentum Quality 100,0001-01-01,,XX,0.05,,INDEX,X,NIFTYSML250MQ 100
NSE,I,493,INDEX,0,NIFTY IND DEFENCE,1,Nifty India Defence,0001-01-01,,XX,0.05,,INDEX,X,NIFTY IND DEFENCE
NSE,I,494,INDEX,0,NIFTY TOP 10 EW,1,Nifty Top 10 Equal Weight,0001-01-01,,XX,0.05,,INDEX,X,NIFTY TOP 10 EW
NSE,I,495,INDEX,0,NIFTY FINSEREXBNK,1,Nifty Financial Services Ex Bank,0001-01-01,,XX,0.05,,INDEX,X,NIFTY FINSEREXBNK
NSE,I,496,INDEX,0,NIFTY200 VALUE 30,1,Nifty 200 Value 30,0001-01-01,,XX,0.05,,INDEX,X,NIFTY200 VALUE 30
NSE,I,497,INDEX,0,NIFTY MULTI MQ 50,1,Nifty 500 Multicap Momentum Quality 50,0001-01-01,,XX,0.05,,INDEX,X,NIFTY MULTI MQ 50
NSE,I,498,INDEX,0,NIFTY500MOMENTM50,1,Nifty 500 Momentum 50,0001-01-01,,XX,0.05,,INDEX,X,NIFTY500MOMENTM50
NSE,I,801,INDEX,0,Nifty AQL 30,1,Nifty Alpha Quality Low Volatility 30,0001-01-01,,XX,0.05,,INDEX,X,Nifty AQL 30
NSE,I,802,INDEX,0,Nifty AQLV 30,1,Nifty Alpha Quality Value Low Vol 30,0001-01-01,,XX,0.05,,INDEX,X,Nifty AQLV 30
NSE,I,803,INDEX,0,Nifty Capital Mkt,1,Nifty Capital Markets,0001-01-01,,XX,0.05,,INDEX,X,Nifty Capital Mkt
NSE,I,804,INDEX,0,Nifty CoreHousing,1,Nifty Core Housing,0001-01-01,,XX,0.05,,INDEX,X,Nifty CoreHousing
NSE,I,805,INDEX,0,Nifty Corp MAATR,1,Nifty India Select 5 Corp Grps (MAATR),0001-01-01,,XX,0.05,,INDEX,X,Nifty Corp MAATR
NSE,I,806,INDEX,0,Nifty GS 10Yr,1,Nifty 10 Yr Benchmark G Sec,0001-01-01,,XX,0.05,,INDEX,X,Nifty GS 10Yr
NSE,I,807,INDEX,0,Nifty GS 10Yr Cln,1,Nifty 10 Yr Benchmark G Sec Clean Price,0001-01-01,,XX,0.05,,INDEX,X,Nifty GS 10Yr Cln
NSE,I,808,INDEX,0,Nifty GS 11 15Yr,1,Nifty 11-15 Yr G Sec,0001-01-01,,XX,0.05,,INDEX,X,Nifty GS 11 15Yr
NSE,I,809,INDEX,0,Nifty GS 15YrPlus,1,Nifty 15 Yr Plus G Sec,0001-01-01,,XX,0.05,,INDEX,X,Nifty GS 15YrPlus
NSE,I,810,INDEX,0,Nifty GS 4 8Yr,1,Nifty 4-8 Yr G Sec,0001-01-01,,XX,0.05,,INDEX,X,Nifty GS 4 8Yr
NSE,I,811,INDEX,0,Nifty GS 8 13Yr,1,Nifty 8-13 Yr G Sec,0001-01-01,,XX,0.05,,INDEX,X,Nifty GS 8 13Yr
NSE,I,812,INDEX,0,Nifty GS Compsite,1,Nifty Composite G Sec,0001-01-01,,XX,0.05,,INDEX,X,Nifty GS Compsite
NSE,I,813,INDEX,0,Nifty HighBeta 50,1,Nifty High Beta 50,0001-01-01,,XX,0.05,,INDEX,X,Nifty HighBeta 50
NSE,I,814,INDEX,0,Nifty Housing,1,Nifty Housing,0001-01-01,,XX,0.05,,INDEX,X,Nifty Housing
NSE,I,815,INDEX,0,Nifty Ind Tourism,1,Nifty India Tourism,0001-01-01,,XX,0.05,,INDEX,X,Nifty Ind Tourism
NSE,I,816,INDEX,0,Nifty IPO,1,Nifty IPO,0001-01-01,,XX,0.05,,INDEX,X,Nifty IPO
NSE,I,818,INDEX,0,Nifty Mobility,1,Nifty Mobility,0001-01-01,,XX,0.05,,INDEX,X,Nifty Mobility
NSE,I,819,INDEX,0,Nifty MS Fin Serv,1,Nifty Mid Small Financial Services,0001-01-01,,XX,0.05,,INDEX,X,Nifty MS Fin Serv
NSE,I,820,INDEX,0,Nifty MS Ind Cons,1,Nifty Mid Small India Consumption,0001-01-01,,XX,0.05,,INDEX,X,Nifty MS Ind Cons
NSE,I,821,INDEX,0,Nifty MS IT Telcm,1,Nifty Mid Small IT Telecom,0001-01-01,,XX,0.05,,INDEX,X,Nifty MS IT Telcm
NSE,I,822,INDEX,0,Nifty New Consump,1,Nifty India New Age Consumption,0001-01-01,,XX,0.05,,INDEX,X,Nifty New Consump
NSE,I,823,INDEX,0,Nifty NonCyc Cons,1,Nifty Non Cyclical Consumer,0001-01-01,,XX,0.05,,INDEX,X,Nifty NonCyc Cons
NSE,I,824,INDEX,0,Nifty Qlty LV 30,1,Nifty Quality Low Volatility 30,0001-01-01,,XX,0.05,,INDEX,X,Nifty Qlty LV 30
NSE,I,825,INDEX,0,Nifty Rural,1,Nifty Rural,0001-01-01,,XX,0.05,,INDEX,X,Nifty Rural
NSE,I,826,INDEX,0,Nifty Shariah 25,1,Nifty Shariah 25,0001-01-01,,XX,0.05,,INDEX,X,Nifty Shariah 25
NSE,I,827,INDEX,0,Nifty Sml250 Q50,1,Nifty Smallcap 250 Quality 50,0001-01-01,,XX,0.05,,INDEX,X,Nifty Sml250 Q50
NSE,I,828,INDEX,0,Nifty Top 15 EW,1,Nifty Top 15 Equal Weight,0001-01-01,,XX,0.05,,INDEX,X,Nifty Top 15 EW
NSE,I,829,INDEX,0,Nifty Top 20 EW,1,Nifty Top 20 Equal Weight,0001-01-01,,XX,0.05,,INDEX,X,Nifty Top 20 EW
NSE,I,830,INDEX,0,Nifty Trans Logis,1,Nifty Transportation Logistics,0001-01-01,,XX,0.05,,INDEX,X,Nifty Trans Logis
NSE,I,831,INDEX,0,Nifty100 Alpha 30,1,Nifty 100 Alpha 30,0001-01-01,,XX,0.05,,INDEX,X,Nifty100 Alpha 30
NSE,I,832,INDEX,0,Nifty100 Enh ESG,1,Nifty 100 Enhanced ESG,0001-01-01,,XX,0.05,,INDEX,X,Nifty100 Enh ESG
NSE,I,833,INDEX,0,Nifty50 Shariah,1,Nifty 50 Shariah,0001-01-01,,XX,0.05,,INDEX,X,Nifty50 Shariah
NSE,I,834,INDEX,0,Nifty500 EW,1,Nifty 500 Equal Weight,0001-01-01,,XX,0.05,,INDEX,X,Nifty500 EW
NSE,I,835,INDEX,0,Nifty500 LMS Eql,1,Nifty 500 Lrg Mid Sml Equal Wtd,0001-01-01,,XX,0.05,,INDEX,X,Nifty500 LMS Eql
NSE,I,836,INDEX,0,Nifty500 LowVol50,1,Nifty 500 Low Volatility 50,0001-01-01,,XX,0.05,,INDEX,X,Nifty500 LowVol50
NSE,I,837,INDEX,0,Nifty500 MQVLv50,1,Nifty 500 Multifactor MQVLv 50,0001-01-01,,XX,0.05,,INDEX,X,Nifty500 MQVLv50
NSE,I,838,INDEX,0,Nifty500 Qlty50,1,Nifty 500 Quality 50,0001-01-01,,XX,0.05,,INDEX,X,Nifty500 Qlty50
NSE,I,839,INDEX,0,Nifty500 Shariah,1,Nifty 500 Shariah,0001-01-01,,XX,0.05,,INDEX,X,Nifty500 Shariah
NSE,I,840,INDEX,0,Nifty500 Value 50,1,Nifty 500 Value 50,0001-01-01,,XX,0.05,,INDEX,X,Nifty500 Value 50
NSE,I,841,INDEX,0,NiftyMS400 MQ 100,1,Nifty Mid Small 400 MQ 100,0001-01-01,,XX,0.05,,INDEX,X,NiftyMS400 MQ 100
BSE,I,842,INDEX,0,200EQW,1,BSE 200 Equal Weight,0001-01-01,,XX,0.05,,INDEX,X,200EQW
BSE,I,843,INDEX,0,BBGEFS,1,BSE Business Grps Ex Fin Services,0001-01-01,,XX,0.05,,INDEX,X,BBGEFS
BSE,I,844,INDEX,0,BS1000,1,BSE 1000,0001-01-01,,XX,0.05,,INDEX,X,BS1000
BSE,I,845,INDEX,0,BSESER,1,BSE Service Sector,0001-01-01,,XX,0.05,,INDEX,X,BSESER
BSE,I,846,INDEX,0,CAPINS,1,BSE Capital Goods Industrial Solutions,0001-01-01,,XX,0.05,,INDEX,X,CAPINS
BSE,I,847,INDEX,0,DOL100,1,BSE Dollex 100,0001-01-01,,XX,0.05,,INDEX,X,DOL100
BSE,I,848,INDEX,0,DOL200,1,BSE Dollex 200,0001-01-01,,XX,0.05,,INDEX,X,DOL200
BSE,I,849,INDEX,0,DOL30,1,BSE Dollex 30,0001-01-01,,XX,0.05,,INDEX,X,DOL30
BSE,I,850,INDEX,0,FOCIT,1,BSE Focused IT,0001-01-01,,XX,0.05,,INDEX,X,FOCIT
BSE,I,851,INDEX,0,FOCMID,1,BSE Focused Midcap,0001-01-01,,XX,0.05,,INDEX,X,FOCMID
BSE,I,852,INDEX,0,IND150,1,BSE India 150,0001-01-01,,XX,0.05,,INDEX,X,IND150
BSE,I,853,INDEX,0,INSLDR,1,BSE India Leaders,0001-01-01,,XX,0.05,,INDEX,X,INSLDR
BSE,I,854,INDEX,0,INTECO,1,BSE India Technology,0001-01-01,,XX,0.05,,INDEX,X,INTECO
BSE,I,855,INDEX,0,POWENE,1,BSE Power Energy,0001-01-01,,XX,0.05,,INDEX,X,POWENE
BSE,I,856,INDEX,0,PRECON,1,BSE Premium Consumption,0001-01-01,,XX,0.05,,INDEX,X,PRECON
BSE,I,857,INDEX,0,PSUBNK,1,BSE PSU Bank,0001-01-01,,XX,0.05,,INDEX,X,PSUBNK
BSE,I,858,INDEX,0,SELIPO,1,BSE Select IPO,0001-01-01,,XX,0.05,,INDEX,X,SELIPO
BSE,I,859,INDEX,0,SENEQW,1,BSE Sensex Equal Weight,0001-01-01,,XX,0.05,,INDEX,X,SENEQW
BSE,I,860,INDEX,0,SNSX60,1,BSE Sensex 60,0001-01-01,,XX,0.05,,INDEX,X,SNSX60
BSE,I,861,INDEX,0,SS6535,1,BSE Sensex Sixty 65:35,0001-01-01,,XX,0.05,,INDEX,X,SS6535
NSE,I,5024,INDEX,0,GIFTNIFTY,1,Gift Nifty,0001-01-01,,XX,0,,INDEX,X,GIFTNIFTY
